name,handedness,height,weight,avg,HR,,Handedness Abbreviation
Terry Crowley,Left,72,180,0.25,42,,L
Horace Clarke,Both,69,170,0.256,27,,B
Lou Clinton,Right,73,185,0.247,65,,R
Larry Cox,Right,70,178,0.221,12,,R
Nate Colbert,Right,74,190,0.243,173,,R
Phil Roof,Right,74,190,0.215,43,,R
Chuck Hinton,Right,73,180,0.264,113,,R
Tim Cullen,Right,73,185,0.22,9,,R
Tim Harkness,Left,74,182,0.235,14,,L
Rick Bosetti,Right,71,185,0.25,17,,R
Ron Pruitt,Right,72,185,0.269,12,,R
George Foster,Right,73,180,0.274,348,,R
Jerry White,Both,70,164,0.253,21,,B
Angel Mangual,Right,70,178,0.245,22,,R
Ken Gerhart,Right,72,190,0.221,24,,R
Mike Hershberger,Right,70,175,0.252,26,,R
Jim French,Left,68,180,0.196,5,,L
Dave Roberts,Left,75,195,0.194,7,,L
Jim Mason,Left,74,185,0.203,12,,L
Mike Smith,Right,75,180,0,0,,R
Willie Smith,Left,72,182,0.248,46,,L
T.R. Bryden,Right,76,190,0,0,,R
Jose Arcia,Right,75,170,0.215,1,,R
Leon Durham,Left,73,185,0.277,147,,L
Tom Makowski,Right,71,185,0,0,,R
Paul Householder,Both,72,180,0.236,29,,B
Aurelio Rodriguez,Right,70,180,0.237,124,,R
Jimmy Stewart,Both,72,165,0.237,8,,B
Dick Phillips,Left,72,180,0.229,12,,L
Andres Thomas,Right,73,170,0.234,42,,R
Ed Crosby,Left,74,175,0.22,0,,L
Mike de la Hoz,Right,71,175,0.251,25,,R
Frank Taveras,Right,72,155,0.255,2,,R
Joe Nossek,Right,72,178,0.228,3,,R
Larry Stahl,Left,72,175,0.232,36,,L
Jose Cruz,Left,72,170,0.284,165,,L
Don Mason,Left,71,160,0.205,3,,L
Bill Robinson,Right,74,189,0.258,166,,R
Jim Umbarger,Left,78,200,0,0,,L
Sal Bando,Right,72,195,0.254,242,,R
George Mitterwald,Right,74,195,0.236,76,,R
Mike Darr,Right,76,190,0,0,,R
Craig Robinson,Right,70,165,0.219,0,,R
Bob Tillman,Right,76,205,0.232,79,,R
Curt Wardle,Left,77,220,0,0,,L
Pat Corrales,Right,72,180,0.216,4,,R
Mike Tyson,Right,69,170,0.241,27,,R
Rafael Landestoy,Both,70,165,0.237,4,,B
Duane Josephson,Right,72,190,0.258,23,,R
Duane Walker,Left,72,185,0.229,24,,L
Glenn Hubbard,Right,69,150,0.244,70,,R
Roger Freed,Right,72,190,0.245,22,,R
George Hendrick,Right,75,195,0.278,267,,R
Rod Carew,Left,72,170,0.328,92,,L
Bob Davis,Right,72,180,0.197,6,,R
Toby Harrah,Right,72,175,0.264,195,,R
Rick Manning,Left,73,180,0.257,56,,L
Israel Sanchez,Left,69,170,0,0,,L
Steve Burke,Both,74,200,0,0,,B
Gary Matthews,Right,74,185,0.281,234,,R
Cesar Geronimo,Left,72,165,0.258,51,,L
Billy Bryan,Left,76,200,0.216,41,,L
Terry Taylor,Right,73,180,0,0,,R
Terry Whitfield,Left,73,197,0.281,33,,L
Mario Mendoza,Right,71,170,0.215,4,,R
Fred Lynn,Left,73,185,0.283,306,,L
Larry Hisle,Right,74,193,0.273,166,,R
Graig Nettles,Left,72,180,0.248,390,,L
Randy Nosek,Right,76,215,0,0,,R
Dave Engle,Right,75,210,0.262,31,,R
Narciso Elvira,Left,70,160,0,0,,L
Mike Easler,Left,72,190,0.293,118,,L
Mark Smith,Right,74,215,0,0,,R
Paul Mitchell,Right,73,195,0,0,,R
Rick Sweet,Both,73,200,0.234,6,,B
Thurman Munson,Right,71,190,0.292,113,,R
Rick Monday,Left,75,193,0.264,241,,L
Mike Sadek,Right,69,165,0.226,5,,R
Mark Belanger,Right,73,170,0.228,20,,R
